NAME,FAMILY,COMMON_NAME,CONSERVATION_STATUS,NATIVE_STATUS
Korthalsella degeneri,Viscaceae,Hulumoa,Rare,Endemic
Korthalsella latissima,Viscaceae,Hulumoa,Apparently Secure,Endemic
Korthalsella platycaula,Viscaceae,Hulumoa,Apparently Secure,Indigenous
Korthalsella remyana,Viscaceae,Hulumoa,Apparently Secure,Endemic
Labordia cyrtandrae,Loganiaceae,Kāmakahala,Endangered,Endemic
Labordia degeneri,Loganiaceae,Kāmakahala,Apparently Secure,Endemic
Labordia fagraeoidea,Loganiaceae,Kāmakahala,Apparently Secure,Endemic
Labordia hedyosmifolia,Loganiaceae,Kāmakahala,Apparently Secure,Endemic
Labordia helleri,Loganiaceae,Kāmakahala,Rare,Endemic
Labordia hirtella,Loganiaceae,Kāmakahala,Apparently Secure,Endemic
Labordia hosakana,Loganiaceae,Kāmakahala,Rare,Endemic
Labordia kaalae,Loganiaceae,Kāmakahala,Rare,Endemic
Labordia lydgatei,Loganiaceae,Kāmakahala,Endangered,Endemic
Labordia pumila,Loganiaceae,Kāmakahala,Rare,Endemic
Labordia sessilis,Loganiaceae,Kāmakahala,Apparently Secure,Endemic
Labordia tinifolia,Loganiaceae,Kāmakahala,Apparently Secure,Endemic
Labordia triflora,Loganiaceae,Kāmakahala,Endangered,Endemic
Labordia venosa,Loganiaceae,Kāmakahala,Apparently Secure,Endemic
Labordia waialealae,Loganiaceae,Kāmakahala lau li‘i,Apparently Secure,Endemic
Labordia waiolani,Loganiaceae,Kāmakahala,Apparently Secure,Endemic
Lachnagrostis filiformis,Poaceae,He‘upueo,Apparently Secure,Indigenous
Lellingeria saffordii,Grammitidaceae,Kihe,Apparently Secure,Endemic
Lepechinia hastata,Lamiaceae,Pakaha,Apparently Secure,Indigenous
Lepidium arbuscula,Brassicaceae,n/a,Endangered,Endemic
Lepidium bidentatum,Brassicaceae,‘Ānaunau,Vulnerable,Endemic
Lepidium orbiculare,Brassicaceae,‘Ānaunau,Endangered,Endemic
Lepidium remyi,Brassicaceae,‘Ānaunau,Extinct,Endemic
Lepidium serra,Brassicaceae,‘Ānaunau,Apparently Secure,Endemic
Lepisorus thunbergianus,Polypodiaceae,Pākahakaha,Apparently Secure,Indigenous
Leptecophylla tameiameiae,Ericaceae,Pūkiawe,Apparently Secure,Indigenous
Lindsaea repens,Lindsaeaceae,Laukahi,Apparently Secure,Endemic
Liparis hawaiensis,Orchidaceae,‘Awapuhiakanaloa,Rare,Endemic
Lipochaeta connata,Asteraceae,Nehe,Apparently Secure,Endemic
Lipochaeta degeneri,Asteraceae,Nehe,Extinct,Endemic
Lipochaeta heterophylla,Asteraceae,Nehe,Apparently Secure,Endemic
Lipochaeta lobata,Asteraceae,Nehe,Apparently Secure,Endemic
Lipochaeta rockii,Asteraceae,Nehe,Apparently Secure,Endemic
Lipochaeta succulenta,Asteraceae,Nehe,Apparently Secure,Endemic
Lobelia dunbariae,Campanulaceae,n/a,Rare,Endemic
Lobelia gaudichaudii,Campanulaceae,n/a,Vulnerable,Endemic
Lobelia gloria-montis,Campanulaceae,n/a,Apparently Secure,Endemic
Lobelia grayana,Campanulaceae,n/a,Apparently Secure,Endemic
Lobelia hillebrandii,Campanulaceae,n/a,Apparently Secure,Endemic
Lobelia hypoleuca,Campanulaceae,Kuhi‘aikamo‘owahie,Apparently Secure,Endemic
Lobelia kauaensis,Campanulaceae,Pu‘e,Rare,Endemic
Lobelia monostachya,Campanulaceae,n/a,Endangered,Endemic
Lobelia niihauensis,Campanulaceae,n/a,Endangered,Endemic
Lobelia oahuensis,Campanulaceae,n/a,Endangered,Endemic
Lobelia remyi,Campanulaceae,n/a,Extinct,Endemic
Lobelia villosa,Campanulaceae,n/a,Rare,Endemic
Lobelia yuccoides,Campanulaceae,Pānaunau,Rare,Endemic
Luzula hawaiiensis,Juncaceae,Wood rush,Apparently Secure,Endemic
Lycium sandwicense,Solanaceae,‘Ōhelo kai,Apparently Secure,Indigenous
Lycopodiella cernua,Lycopodiaceae,Wāwae‘iole,Apparently Secure,Indigenous
Lycopodium venustulum,Lycopodiaceae,n/a,Apparently Secure,Endemic
Lysimachia daphnoides,Myrsinaceae,Lehua makanoe,Rare,Endemic
Lysimachia filifolia,Myrsinaceae,n/a,Endangered,Endemic
Lysimachia forbesii,Myrsinaceae,n/a,Extinct,Endemic
Lysimachia glutinosa,Myrsinaceae,n/a,Apparently Secure,Endemic
Lysimachia hillebrandii,Myrsinaceae,Kolokolo kuahiwi,Apparently Secure,Endemic
Lysimachia iniki,Myrsinaceae,n/a,Rare,Endemic
Lysimachia kalalauensis,Myrsinaceae,n/a,Apparently Secure,Endemic
Lysimachia lydgatei,Myrsinaceae,n/a,Endangered,Endemic
Lysimachia mauritiana,Myrsinaceae,n/a,Apparently Secure,Indigenous
Lysimachia maxima,Myrsinaceae,n/a,Endangered,Endemic
Lysimachia pendens,Myrsinaceae,n/a,Rare,Endemic
Lysimachia remyi,Myrsinaceae,n/a,Apparently Secure,Endemic
Lysimachia scopulensis,Myrsinaceae,n/a,Rare,Endemic
Lysimachia venosa,Myrsinaceae,n/a,Endangered,Endemic
Machaerina angustifolia,Cyperaceae,‘Uki,Apparently Secure,Indigenous
Machaerina mariscoides,Cyperaceae,‘Uki,Apparently Secure,Indigenous
Marattia douglasii,Marattiaceae,Pala,Apparently Secure,Endemic
Marsilea villosa,Marsileaceae,‘Ihi‘ihi,Endangered,Endemic
Melanthera bryanii,Asteraceae,Nehe,Extinct,Endemic
Melanthera fauriei,Asteraceae,Nehe,Endangered,Endemic
Melanthera integrifolia,Asteraceae,Nehe,Apparently Secure,Endemic
Melanthera kamolensis,Asteraceae,Nehe,Endangered,Endemic
Melanthera lavarum,Asteraceae,Nehe,Apparently Secure,Endemic
Melanthera micrantha,Asteraceae,Nehe,Endangered,Endemic
Melanthera perdita,Asteraceae,Nehe,Extinct,Endemic
Melanthera populifolia,Asteraceae,Nehe,Extinct,Endemic
Melanthera remyi,Asteraceae,Nehe,Rare,Endemic
Melanthera subcordata,Asteraceae,Nehe,Apparently Secure,Endemic
Melanthera tenuifolia,Asteraceae,Nehe,Endangered,Endemic
Melanthera tenuis,Asteraceae,Nehe,Vulnerable,Endemic
Melanthera venosa,Asteraceae,Nehe,Endangered,Endemic
Melanthera waimeaensis,Asteraceae,Nehe,Endangered,Endemic
Melicope adscendens,Rutaceae,Alani,Endangered,Endemic
Melicope anisata,Rutaceae,Mokihana,Apparently Secure,Endemic
Melicope balloui,Rutaceae,Alani,Extinct,Endemic
Melicope barbigera,Rutaceae,Uahiapele,Apparently Secure,Endemic
Melicope christophersenii,Rutaceae,Alani,Rare,Endemic
Melicope cinerea,Rutaceae,Alani,Rare,Endemic
Melicope clusiifolia,Rutaceae,Kūkaemoa,Apparently Secure,Endemic
Melicope cruciata,Rutaceae,Pilo ‘ula,Rare,Endemic
Melicope degeneri,Rutaceae,Alani,Endangered,Endemic
Melicope elliptica,Rutaceae,Leiohi‘iaka,Apparently Secure,Endemic
Melicope feddei,Rutaceae,Alani,Apparently Secure,Endemic
Melicope haleakalae,Rutaceae,Alani,Rare,Endemic
Melicope haupuensis,Rutaceae,Alani,Endangered,Endemic
Melicope hawaiensis,Rutaceae,Mokihana kūkae moa,Vulnerable,Endemic
Melicope hiiakae,Rutaceae,Alani,Vulnerable,Endemic
Melicope hosakae,Rutaceae,Alani,Apparently Secure,Endemic
Melicope kaalaensis,Rutaceae,Alani,Apparently Secure,Endemic
Melicope kavaiensis,Rutaceae,Pilo ‘ula,Apparently Secure,Endemic
Melicope knudsenii,Rutaceae,Alani,Endangered,Endemic
Melicope lydgatei,Rutaceae,Alani,Endangered,Endemic
Melicope macropus,Rutaceae,Alani,Extinct,Endemic
Melicope makahae,Rutaceae,Alani,Endangered,Endemic
Melicope molokaiensis,Rutaceae,Alani,Apparently Secure,Endemic
Melicope mucronulata,Rutaceae,Alani,Endangered,Endemic
Melicope munroi,Rutaceae,Alani,Endangered,Endemic
Melicope nealae,Rutaceae,Alani,Extinct,Endemic
Melicope oahuensis,Rutaceae,Alani,Apparently Secure,Endemic
Melicope obovata,Rutaceae,Alani,Extinct,Endemic
Melicope orbicularis,Rutaceae,Alani,Apparently Secure,Endemic
Melicope ovalis,Rutaceae,Alani,Endangered,Endemic
Melicope ovata,Rutaceae,Alani,Apparently Secure,Endemic
Melicope pallida,Rutaceae,Alani,Endangered,Endemic
Melicope paniculata,Rutaceae,Alani,Vulnerable,Endemic
Melicope peduncularis,Rutaceae,Alani,Apparently Secure,Endemic
Melicope pseudoanisata,Rutaceae,Alani,Apparently Secure,Endemic
Melicope puberula,Rutaceae,Alani,Rare,Endemic
Melicope quadrangularis,Rutaceae,Alani,Endangered,Endemic
Melicope radiata,Rutaceae,Alani,Apparently Secure,Endemic
Melicope reflexa,Rutaceae,Alani,Endangered,Endemic
Melicope rotundifolia,Rutaceae,Alani,Apparently Secure,Endemic
Melicope saint-johnii,Rutaceae,Alani,Endangered,Endemic
Melicope sandwicensis,Rutaceae,Alani,Rare,Endemic
Melicope sessilis,Rutaceae,Alani,Apparently Secure,Endemic
Melicope volcanica,Rutaceae,Alani,Apparently Secure,Endemic
Melicope waialealae,Rutaceae,Alani wai,Apparently Secure,Endemic
Melicope wailauensis,Rutaceae,Alani,Extinct,Endemic
Melicope wawraeana,Rutaceae,Alani,Apparently Secure,Endemic
Melicope zahlbruckneri,Rutaceae,Alani,Endangered,Endemic
Metrosideros macropus,Myrtaceae,‘Ōhi‘a lehua,Apparently Secure,Endemic
Metrosideros polymorpha,Myrtaceae,‘Ōhi‘a lehua,Apparently Secure,Endemic
Metrosideros rugosa,Myrtaceae,Lehua papa,Apparently Secure,Endemic
Metrosideros tremuloides,Myrtaceae,Lehua ‘āhihi,Apparently Secure,Endemic
Metrosideros waialealae,Myrtaceae,‘Ōhi‘a lehua,Apparently Secure,Endemic
Microlepia speluncae,Dennstaedtiaceae,n/a,Apparently Secure,Indigenous
Microlepia strigosa,Dennstaedtiaceae,Palapalai,Apparently Secure,Endemic
Microsorum spectrum,Polypodiaceae,Pe‘ahi,Apparently Secure,Endemic
Morelotia gahniiformis,Cyperaceae,n/a,Apparently Secure,Endemic
Morinda trimera,Rubiaceae,Noni kuahiwi,Apparently Secure,Endemic
Mucuna gigantea,Fabaceae,Kā‘e‘e,Apparently Secure,Indigenous
Mucuna sloanei,Fabaceae,n/a,Apparently Secure,Endemic
Munroidendron racemosum,Araliaceae,n/a,Endangered,Endemic
Myoporum sandwicense,Scrophulariaceae,Naio,Apparently Secure,Indigenous
Myrsine alyxifolia,Primulaceae,Kōlea,Apparently Secure,Endemic
Myrsine degeneri,Primulaceae,Kōlea,Apparently Secure,Endemic
Myrsine denticulata,Primulaceae,Kōlea,Apparently Secure,Endemic
Myrsine emarginata,Primulaceae,Kōlea,Apparently Secure,Endemic
Myrsine fernseei,Primulaceae,Kōlea,Apparently Secure,Endemic
Myrsine fosbergii,Primulaceae,Kōlea,Rare,Endemic
Myrsine helleri,Primulaceae,‘Ōliko,Apparently Secure,Endemic
Myrsine juddii,Primulaceae,Kōlea,Endangered,Endemic
Myrsine kauaiensis,Primulaceae,Kōlea,Apparently Secure,Endemic
Myrsine knudsenii,Primulaceae,Kōlea,Rare,Endemic
Myrsine lanaiensis,Primulaceae,Kōlea,Apparently Secure,Endemic
Myrsine lessertiana,Primulaceae,Kōlea lau nui,Apparently Secure,Endemic
Myrsine linearifolia,Primulaceae,Kōlea,Vulnerable,Endemic
Myrsine mezii,Primulaceae,Kōlea,Endangered,Endemic
Myrsine petiolata,Primulaceae,Kōlea,Apparently Secure,Endemic
Myrsine pukooensis,Primulaceae,Kōlea,Apparently Secure,Endemic
Myrsine punctata,Primulaceae,Kōlea,Apparently Secure,Endemic
Myrsine sandwicensis,Primulaceae,Kōlea lau li‘i,Apparently Secure,Endemic
Myrsine vaccinioides,Primulaceae,Kōlea,Endangered,Endemic
Myrsine wawraea,Primulaceae,Kōlea,Apparently Secure,Endemic
Nama sandwicensis,Boraginaceae,Hinahina kahakai,Vulnerable,Endemic
Nephrolepis cordifolia,Nephrolepidaceae,Kupukupu lau li‘i,Apparently Secure,Indigenous
Nephrolepis exaltata,Nephrolepidaceae,Kupukupu,Apparently Secure,Endemic
Neraudia angulata,Urticaceae,n/a,Endangered,Endemic
Neraudia kauaiensis,Urticaceae,n/a,Rare,Endemic
Neraudia melastomifolia,Urticaceae,n/a,Apparently Secure,Endemic
Neraudia ovata,Urticaceae,n/a,Endangered,Endemic
Neraudia sericea,Urticaceae,n/a,Endangered,Endemic
Nertera granadensis,Rubiaceae,Pilo,Apparently Secure,Indigenous
Nesoluma polynesicum,Sapotaceae,Ma‘aloa,Vulnerable,Indigenous
Nestegis sandwicensis,Oleaceae,Olopua,Apparently Secure,Endemic
Nothocestrum breviflorum,Solanaceae,‘Aiea,Endangered,Endemic
Nothocestrum latifolium,Solanaceae,‘Aiea,Rare,Endemic
Nothocestrum longifolium,Solanaceae,‘Aiea,Apparently Secure,Endemic
Nothocestrum peltatum,Solanaceae,‘Aiea,Endangered,Endemic
Nothoperanema rubiginosa,Dryopteridaceae,n/a,Apparently Secure,Endemic
Nototrichium divaricatum,Amaranthaceae,Kulu‘ī,Rare,Endemic
Nototrichium humile,Amaranthaceae,Kulu‘ī,Endangered,Endemic
Nototrichium sandwicense,Amaranthaceae,Kulu‘ī,Apparently Secure,Endemic
Ochrosia compta,Apocynaceae,Hōlei,Rare,Endemic
Ochrosia haleakalae,Apocynaceae,Hōlei,Rare,Endemic
Ochrosia kauaiensis,Apocynaceae,Hōlei,Rare,Endemic
Ochrosia kilaueaensis,Apocynaceae,Hōlei,Extinct,Endemic
Ophioderma pendulum,Ophioglossaceae,Puapua moa,Apparently Secure,Indigenous
Ophioglossum petiolatum,Ophioglossaceae,Adder's tongue,Apparently Secure,Indigenous
Ophioglossum polyphyllum,Ophioglossaceae,Pololei,Apparently Secure,Indigenous
Oreobolus furcatus,Cyperaceae,n/a,Apparently Secure,Endemic
Osteomeles anthyllidifolia,Rosaceae,‘Ūlei,Apparently Secure,Indigenous
Pandanus tectorius,Pandanaceae,Hala,Apparently Secure,Indigenous
Panicum beecheyi,Poaceae,n/a,Apparently Secure,Endemic
Panicum fauriei,Poaceae,n/a,Apparently Secure,Endemic
Panicum konaense,Poaceae,n/a,Apparently Secure,Endemic
Panicum lineale,Poaceae,n/a,Rare,Endemic
Panicum longivaginatum,Poaceae,n/a,Rare,Endemic
Panicum nephelophilum,Poaceae,Konakona,Apparently Secure,Endemic
Panicum niihauense,Poaceae,Lau‘ehu,Endangered,Endemic
Panicum pellitum,Poaceae,Kāi‘oi‘o,Apparently Secure,Endemic
Panicum ramosius,Poaceae,n/a,Rare,Endemic
Panicum tenuifolium,Poaceae,Mountain pili,Apparently Secure,Endemic
Panicum torridum,Poaceae,Kākonakona,Apparently Secure,Endemic
Panicum xerophilum,Poaceae,Kākonakona,Apparently Secure,Endemic
Paspalum scrobiculatum,Poaceae,Mau‘u laiki,Apparently Secure,Indigenous
Pellaea ternifolia,Pteridaceae,Kalamoho lau li‘i,Apparently Secure,Indigenous
Peperomia alternifolia,Piperaceae,‘Ala‘ala wai nui,Apparently Secure,Endemic
Peperomia blanda,Piperaceae,‘Ala‘ala wai nui,Apparently Secure,Indigenous
Peperomia cookiana,Piperaceae,‘Ala‘ala wai nui,Apparently Secure,Endemic
Peperomia degeneri,Piperaceae,‘Ala‘ala wai nui,Extinct,Endemic
Peperomia eekana,Piperaceae,‘Ala‘ala wai nui,Apparently Secure,Endemic
Peperomia ellipticibacca,Piperaceae,‘Ala‘ala wai nui,Apparently Secure,Endemic
Peperomia expallescens,Piperaceae,‘Ala‘ala wai nui,Apparently Secure,Endemic
Peperomia globulanthera,Piperaceae,‘Ala‘ala wai nui,Apparently Secure,Endemic
Peperomia hesperomannii,Piperaceae,‘Ala‘ala wai nui,Apparently Secure,Endemic
Peperomia hirtipetiola,Piperaceae,‘Ala‘ala wai nui,Apparently Secure,Endemic
Peperomia hypoleuca,Piperaceae,‘Ala‘ala wai nui,Apparently Secure,Endemic
Peperomia kipahuluensis,Piperaceae,‘Ala‘ala wai nui,Apparently Secure,Endemic
Peperomia kokeana,Piperaceae,‘Ala‘ala wai nui,Apparently Secure,Endemic
Peperomia latifolia,Piperaceae,‘Ala‘ala wai nui,Apparently Secure,Endemic
Peperomia ligustrina,Piperaceae,‘Ala‘ala wai nui,Apparently Secure,Endemic
Peperomia macraeana,Piperaceae,‘Ala‘ala wai nui,Apparently Secure,Endemic
Peperomia mauiensis,Piperaceae,‘Ala‘ala wai nui,Apparently Secure,Endemic
Peperomia membranacea,Piperaceae,‘Ala‘ala wai nui,Apparently Secure,Endemic
Peperomia oahuensis,Piperaceae,‘Ala‘ala wai nui,Apparently Secure,Endemic
Peperomia obovatilimba,Piperaceae,‘Ala‘ala wai nui,Apparently Secure,Endemic
Peperomia remyi,Piperaceae,‘Ala‘ala wai nui,Apparently Secure,Endemic
Peperomia rockii,Piperaceae,‘Ala‘ala wai nui,Rare,Endemic
Peperomia sandwicensis,Piperaceae,‘Ala‘ala wai nui,Apparently Secure,Endemic
Peperomia subpetiolata,Piperaceae,‘Ala‘ala wai nui,Endangered,Endemic
Peperomia tetraphylla,Piperaceae,‘Ala‘ala wai nui,Apparently Secure,Indigenous
Perrottetia sandwicensis,Celastraceae,Olomea,Apparently Secure,Endemic
Peucedanum sandwicense,Apiaceae,Makou,Vulnerable,Endemic
Phyllanthus distichus,Phyllanthaceae,Pāmakani māhū,Apparently Secure,Endemic
Phyllostegia ambigua,Lamiaceae,n/a,Apparently Secure,Endemic
Phyllostegia bracteata,Lamiaceae,n/a,Endangered,Endemic
Phyllostegia brevidens,Lamiaceae,n/a,Endangered,Endemic
Phyllostegia electra,Lamiaceae,n/a,Apparently Secure,Endemic
Phyllostegia floribunda,Lamiaceae,n/a,Rare,Endemic
Phyllostegia glabra,Lamiaceae,Ulihi,Apparently Secure,Endemic
Phyllostegia grandiflora,Lamiaceae,Kāpana,Apparently Secure,Endemic
Phyllostegia haliakalae,Lamiaceae,n/a,Extinct,Endemic
Phyllostegia helleri,Lamiaceae,n/a,Extinct,Endemic
Phyllostegia hillebrandii,Lamiaceae,n/a,Extinct,Endemic
Phyllostegia hirsuta,Lamiaceae,n/a,Endangered,Endemic
Phyllostegia hispida,Lamiaceae,n/a,Endangered,Endemic
Phyllostegia kaalaensis,Lamiaceae,n/a,Endangered,Endemic
Phyllostegia kahiliensis,Lamiaceae,n/a,Rare,Endemic
Phyllostegia knudsenii,Lamiaceae,n/a,Endangered,Endemic
Phyllostegia lantanoides,Lamiaceae,n/a,Apparently Secure,Endemic
Phyllostegia macrophylla,Lamiaceae,n/a,Apparently Secure,Endemic
Phyllostegia mannii,Lamiaceae,n/a,Endangered,Endemic
Phyllostegia micrantha,Lamiaceae,n/a,Extinct,Endemic
Phyllostegia mollis,Lamiaceae,n/a,Endangered,Endemic
Phyllostegia parviflora,Lamiaceae,n/a,Endangered,Endemic
Phyllostegia pilosa,Lamiaceae,n/a,Endangered,Endemic
Phyllostegia racemosa,Lamiaceae,n/a,Endangered,Endemic
Phyllostegia renovans,Lamiaceae,n/a,Rare,Endemic
Phyllostegia rockii,Lamiaceae,n/a,Extinct,Endemic
Phyllostegia stachyoides,Lamiaceae,n/a,Endangered,Endemic
Phyllostegia velutina,Lamiaceae,n/a,Endangered,Endemic
Phyllostegia vestita,Lamiaceae,n/a,Apparently Secure,Endemic
Phyllostegia waimeae,Lamiaceae,n/a,Extinct,Endemic
Phyllostegia warshaueri,Lamiaceae,n/a,Endangered,Endemic
Phyllostegia wawrana,Lamiaceae,n/a,Endangered,Endemic
Phytolacca sandwicensis,Phytolaccaceae,Kīponapona,Apparently Secure,Endemic
Pilea peploides,Urticaceae,n/a,Apparently Secure,Indigenous
Pipturus albidus,Urticaceae,Māmaki,Apparently Secure,Endemic
Pipturus forbesii,Urticaceae,Māmaki,Apparently Secure,Endemic
Pipturus kauaiensis,Urticaceae,Māmaki,Apparently Secure,Endemic
Pipturus ruber,Urticaceae,Māmaki,Apparently Secure,Endemic
Pisonia brunoniana,Nyctaginaceae,Pāpala kēpau,Apparently Secure,Indigenous
Pisonia sandwicensis,Nyctaginaceae,Pāpala kēpau,Apparently Secure,Endemic
Pisonia umbellifera,Nyctaginaceae,Pāpala kēpau,Apparently Secure,Indigenous
Pisonia wagneriana,Nyctaginaceae,Pāpala kēpau,Rare,Endemic
Pittosporum argentifolium,Pittosporaceae,Hō‘awa,Rare,Endemic
Pittosporum confertiflorum,Pittosporaceae,Hō‘awa,Apparently Secure,Endemic
Pittosporum flocculosum,Pittosporaceae,Hō‘awa,Apparently Secure,Endemic
Pittosporum gayanum,Pittosporaceae,Hō‘awa,Apparently Secure,Endemic
Pittosporum glabrum,Pittosporaceae,Hō‘awa,Apparently Secure,Endemic
Pittosporum halophilum,Pittosporaceae,Hō‘awa,Rare,Endemic
Pittosporum hawaiiense,Pittosporaceae,Hō‘awa,Rare,Endemic
Pittosporum hosmeri,Pittosporaceae,Hō‘awa,Apparently Secure,Endemic
Pittosporum kauaiense,Pittosporaceae,Hō‘awa,Apparently Secure,Endemic
Pittosporum napaliense,Pittosporaceae,Hō‘awa,Rare,Endemic
