NAME,FAMILY,COMMON_NAME,CONSERVATION_STATUS,NATIVE_STATUS
Pittosporum terminalioides,Pittosporaceae,Hō‘awa,Apparently Secure,Endemic
Plantago hawaiensis,Plantaginaceae,Laukahi kuahiwi,Endangered,Endemic
Plantago pachyphylla,Plantaginaceae,Laukahi kuahiwi,Apparently Secure,Endemic
Plantago princeps,Plantaginaceae,Laukahi kuahiwi,Endangered,Endemic
Platanthera holochila,Orchidaceae,n/a,Endangered,Endemic
Platydesma cornuta,Rutaceae,n/a,Rare,Endemic
Platydesma remyi,Rutaceae,n/a,Vulnerable,Endemic
Platydesma rostrata,Rutaceae,Pilo kea lau li‘i,Rare,Endemic
Platydesma spathulata,Rutaceae,Pilo kea,Apparently Secure,Endemic
Plectranthus parviflorus,Lamiaceae,‘Ala‘ala wai nui wahine,Apparently Secure,Indigenous
Pleomele aurea,Ruscaceae,Hala pepe,Apparently Secure,Endemic
Pleomele auwahiensis,Ruscaceae,Hala pepe,Apparently Secure,Endemic
Pleomele fernaldii,Ruscaceae,Hala pepe,Endangered,Endemic
Pleomele forbesii,Ruscaceae,Hala pepe,Rare,Endemic
Pleomele halapepe,Ruscaceae,Hala pepe,Apparently Secure,Endemic
Pleomele hawaiiensis,Ruscaceae,Hala pepe,Endangered,Endemic
Plumbago zeylanica,Plumbaginaceae,‘Ilie‘e,Apparently Secure,Indigenous
Poa mannii,Poaceae,n/a,Endangered,Endemic
Poa sandvicensis,Poaceae,n/a,Endangered,Endemic
Poa siphonoglossa,Poaceae,n/a,Endangered,Endemic
Polypodium pellucidum,Polypodiaceae,‘Ae,Apparently Secure,Endemic
Polystichum bonseyi,Dryopteridaceae,n/a,Apparently Secure,Endemic
Polystichum haleakalense,Dryopteridaceae,n/a,Apparently Secure,Endemic
Polystichum hillebrandii,Dryopteridaceae,Ka‘upu,Apparently Secure,Endemic
Portulaca lutea,Portulacaceae,‘Ihi,Apparently Secure,Indigenous
Portulaca molokiniensis,Portulacaceae,‘Ihi,Rare,Endemic
Portulaca sclerocarpa,Portulacaceae,Po‘e,Endangered,Endemic
Portulaca villosa,Portulacaceae,‘Ihi,Vulnerable,Endemic
Potamogeton foliosus,Potamogetonaceae,Leafy pondweed,Apparently Secure,Indigenous
Potamogeton nodosus,Potamogetonaceae,Long-leafed pondweed,Apparently Secure,Indigenous
Pouteria sandwicensis,Sapotaceae,‘Āla‘a,Apparently Secure,Endemic
Pritchardia affinis,Arecaceae,Loulu,Endangered,Endemic
Pritchardia arecina,Arecaceae,Loulu,Apparently Secure,Endemic
Pritchardia aylmer-robinsonii,Arecaceae,Loulu,Endangered,Endemic
Pritchardia beccariana,Arecaceae,Loulu,Apparently Secure,Endemic
Pritchardia forbesiana,Arecaceae,Loulu,Rare,Endemic
Pritchardia glabrata,Arecaceae,Loulu,Vulnerable,Endemic
Pritchardia hardyi,Arecaceae,Loulu,Rare,Endemic
Pritchardia hillebrandii,Arecaceae,Loulu,Apparently Secure,Endemic
Pritchardia kaalae,Arecaceae,Loulu,Endangered,Endemic
Pritchardia lanaiensis,Arecaceae,Loulu,Vulnerable,Endemic
Pritchardia lanigera,Arecaceae,Loulu,Rare,Endemic
Pritchardia limahuliensis,Arecaceae,Loulu,Endangered,Endemic
Pritchardia lowreyana,Arecaceae,Loulu,Apparently Secure,Endemic
Pritchardia martii,Arecaceae,Loulu hiwa,Apparently Secure,Endemic
Pritchardia minor,Arecaceae,Loulu,Apparently Secure,Endemic
Pritchardia munroi,Arecaceae,Loulu,Endangered,Endemic
Pritchardia napaliensis,Arecaceae,Loulu,Endangered,Endemic
Pritchardia perlmanii,Arecaceae,Loulu,Endangered,Endemic
Pritchardia schattaueri,Arecaceae,Loulu,Endangered,Endemic
Pritchardia viscosa,Arecaceae,Loulu,Endangered,Endemic
Pritchardia waialealeana,Arecaceae,Loulu,Apparently Secure,Endemic
Pseudognaphalium sandwicensium,Asteraceae,‘Ena‘ena,Apparently Secure,Endemic
Pseudophegopteris keraudreniana,Thelypteridaceae,Waimakanui,Apparently Secure,Endemic
Psilotum complanatum,Psilotaceae,Moa,Apparently Secure,Indigenous
Psilotum nudum,Psilotaceae,Moa,Apparently Secure,Indigenous
Psychotria fauriei,Rubiaceae,Kōpiko,Apparently Secure,Endemic
Psychotria grandiflora,Rubiaceae,Kōpiko,Endangered,Endemic
Psychotria greenwelliae,Rubiaceae,Kōpiko,Apparently Secure,Endemic
Psychotria hathewayi,Rubiaceae,Kōpiko,Apparently Secure,Endemic
Psychotria hawaiiensis,Rubiaceae,Kōpiko ‘ula,Apparently Secure,Endemic
Psychotria hexandra,Rubiaceae,Kōpiko,Apparently Secure,Endemic
Psychotria hobdyi,Rubiaceae,Kōpiko,Endangered,Endemic
Psychotria kaduana,Rubiaceae,Kōpiko,Apparently Secure,Endemic
Psychotria mariniana,Rubiaceae,Kōpiko,Apparently Secure,Endemic
Psychotria mauiensis,Rubiaceae,Kōpiko,Apparently Secure,Endemic
Psychotria wawrae,Rubiaceae,Kōpiko,Rare,Endemic
Psydrax odorata,Rubiaceae,Alahe‘e,Apparently Secure,Indigenous
Pteralyxia kauaiensis,Apocynaceae,Kaulu,Endangered,Endemic
Pteralyxia macrocarpa,Apocynaceae,Kaulu,Vulnerable,Endemic
Pteridium aquilinum,Dennstaedtiaceae,Kīlau,Apparently Secure,Endemic
Pteris cretica,Pteridaceae,‘Ōali,Apparently Secure,Indigenous
Pteris excelsa,Pteridaceae,Waimakanui,Apparently Secure,Indigenous
Pteris hillebrandii,Pteridaceae,n/a,Apparently Secure,Endemic
Pteris irregularis,Pteridaceae,Mānā,Apparently Secure,Endemic
Pteris lidgatei,Pteridaceae,n/a,Endangered,Endemic
Ranunculus hawaiensis,Ranunculaceae,Makou,Endangered,Endemic
Ranunculus mauiensis,Ranunculaceae,Makou,Endangered,Endemic
Rauvolfia sandwicensis,Apocynaceae,Hao,Apparently Secure,Endemic
Remya kauaiensis,Asteraceae,n/a,Endangered,Endemic
Remya mauiensis,Asteraceae,n/a,Endangered,Endemic
Remya montgomeryi,Asteraceae,n/a,Endangered,Endemic
Reynoldsia sandwicensis,Araliaceae,‘Ohe makai,Rare,Endemic
Rhus sandwicensis,Anacardiaceae,Neneleau,Apparently Secure,Endemic
Rhynchospora chinensis,Cyperaceae,n/a,Apparently Secure,Indigenous
Rhynchospora rugosa,Cyperaceae,Pu‘uko‘a,Apparently Secure,Indigenous
Rhynchospora sclerioides,Cyperaceae,n/a,Apparently Secure,Indigenous
Rubus hawaiensis,Rosaceae,‘Ākala,Apparently Secure,Endemic
Rubus macraei,Rosaceae,‘Ākala,Rare,Endemic
Rumex albescens,Polygonaceae,Hu‘ahu‘akō,Apparently Secure,Endemic
Rumex giganteus,Polygonaceae,Pāwale,Apparently Secure,Endemic
Rumex skottsbergii,Polygonaceae,Pāwale,Apparently Secure,Endemic
Ruppia maritima,Ruppiaceae,Ditchgrass,Apparently Secure,Indigenous
Sadleria cyatheoides,Blechnaceae,‘Ama‘u,Apparently Secure,Endemic
Sadleria pallida,Blechnaceae,‘Ama‘u,Apparently Secure,Endemic
Sadleria souleyetiana,Blechnaceae,‘Ama‘u,Apparently Secure,Endemic
Sadleria squarrosa,Blechnaceae,‘Apu‘u,Apparently Secure,Endemic
Sadleria unisora,Blechnaceae,‘Apu‘u,Apparently Secure,Endemic
Sadleria wagneriana,Blechnaceae,‘Ama‘u,Apparently Secure,Endemic
Sanicula kauaiensis,Apiaceae,n/a,Extinct,Endemic
Sanicula mariversa,Apiaceae,n/a,Endangered,Endemic
Sanicula purpurea,Apiaceae,n/a,Endangered,Endemic
Sanicula sandwicensis,Apiaceae,n/a,Rare,Endemic
Santalum ellipticum,Santalaceae,‘Iliahi,Apparently Secure,Endemic
Santalum freycinetianum,Santalaceae,‘Iliahi,Apparently Secure,Endemic
Santalum haleakalae,Santalaceae,‘Iliahi,Apparently Secure,Endemic
Santalum paniculatum,Santalaceae,‘Iliahi,Apparently Secure,Endemic
Sapindus oahuensis,Sapindaceae,Lonomea,Apparently Secure,Endemic
Sapindus saponaria,Sapindaceae,Mānele,Apparently Secure,Indigenous
Scaevola chamissoniana,Goodeniaceae,Naupaka kuahiwi,Apparently Secure,Endemic
Scaevola coriacea,Goodeniaceae,Dwarf Naupaka,Endangered,Endemic
Scaevola gaudichaudiana,Goodeniaceae,Naupaka kuahiwi,Apparently Secure,Endemic
Scaevola gaudichaudii,Goodeniaceae,Naupaka kuahiwi,Apparently Secure,Endemic
Scaevola glabra,Goodeniaceae,‘Ohe naupaka,Apparently Secure,Endemic
Scaevola hobdyi,Goodeniaceae,Naupaka kuahiwi,Extinct,Endemic
Scaevola kilaueae,Goodeniaceae,Huahekili uka,Rare,Endemic
Scaevola mollis,Goodeniaceae,Naupaka kuahiwi,Apparently Secure,Endemic
Scaevola procera,Goodeniaceae,Naupaka kuahiwi,Apparently Secure,Endemic
Scaevola taccada,Goodeniaceae,Naupaka kahakai,Apparently Secure,Indigenous
Sceptridium subbifoliatum,Ophioglossaceae,Makou,Extinct,Endemic
Schiedea adamantis,Caryophyllaceae,n/a,Endangered,Endemic
Schiedea amplexicaulis,Caryophyllaceae,n/a,Extinct,Endemic
Schiedea apokremnos,Caryophyllaceae,n/a,Endangered,Endemic
Schiedea attenuata,Caryophyllaceae,n/a,Endangered,Endemic
Schiedea diffusa,Caryophyllaceae,n/a,Rare,Endemic
Schiedea globosa,Caryophyllaceae,n/a,Vulnerable,Endemic
Schiedea haleakalensis,Caryophyllaceae,n/a,Endangered,Endemic
Schiedea hawaiiensis,Caryophyllaceae,n/a,Endangered,Endemic
Schiedea helleri,Caryophyllaceae,n/a,Endangered,Endemic
Schiedea hookeri,Caryophyllaceae,n/a,Endangered,Endemic
Schiedea implexa,Caryophyllaceae,n/a,Extinct,Endemic
Schiedea jacobii,Caryophyllaceae,n/a,Endangered,Endemic
Schiedea kaalae,Caryophyllaceae,n/a,Endangered,Endemic
Schiedea kauaiensis,Caryophyllaceae,n/a,Endangered,Endemic
Schiedea kealiae,Caryophyllaceae,n/a,Endangered,Endemic
Schiedea ligustrina,Caryophyllaceae,n/a,Vulnerable,Endemic
Schiedea lychnoides,Caryophyllaceae,Kuawāwaenohu,Endangered,Endemic
Schiedea lydgatei,Caryophyllaceae,n/a,Endangered,Endemic
Schiedea mannii,Caryophyllaceae,n/a,Vulnerable,Endemic
Schiedea membranacea,Caryophyllaceae,n/a,Endangered,Endemic
Schiedea menziesii,Caryophyllaceae,n/a,Vulnerable,Endemic
Schiedea nuttallii,Caryophyllaceae,n/a,Endangered,Endemic
Schiedea obovata,Caryophyllaceae,n/a,Endangered,Endemic
Schiedea pentandra,Caryophyllaceae,n/a,Rare,Endemic
Schiedea perlmanii,Caryophyllaceae,n/a,Endangered,Endemic
Schiedea pubescens,Caryophyllaceae,n/a,Rare,Endemic
Schiedea salicaria,Caryophyllaceae,n/a,Vulnerable,Endemic
Schiedea sarmentosa,Caryophyllaceae,n/a,Endangered,Endemic
Schiedea spergulina,Caryophyllaceae,n/a,Vulnerable,Endemic
Schiedea stellarioides,Caryophyllaceae,Laulihilihi,Endangered,Endemic
Schiedea trinervis,Caryophyllaceae,n/a,Endangered,Endemic
Schiedea viscosa,Caryophyllaceae,n/a,Endangered,Endemic
Schizaea robusta,Schizaeaceae,‘Oāli‘I makali‘i,Apparently Secure,Endemic
Schoenoplectus juncoides,Cyperaceae,Kaluhā,Apparently Secure,Indigenous
Schoenoplectus tabernaemontani,Cyperaceae,‘Aka‘akai,Apparently Secure,Indigenous
Scleria testacea,Cyperaceae,Nutgrass,Apparently Secure,Indigenous
Selaginella arbuscula,Selaginellaceae,Lepelepe a moa,Apparently Secure,Endemic
Selaginella deflexa,Selaginellaceae,n/a,Apparently Secure,Endemic
Senna gaudichaudii,Fabaceae,Kolomona,Apparently Secure,Indigenous
Sesbania tomentosa,Fabaceae,‘Ohai,Endangered,Endemic
Sesuvium portulacastrum,Aizoaceae,‘Ākulikuli,Apparently Secure,Indigenous
Sicyos alba,Cucurbitaceae,‘Ānunu,Endangered,Endemic
Sicyos anunu,Cucurbitaceae,‘Ānunu,Apparently Secure,Endemic
Sicyos cucumerinus,Cucurbitaceae,Panunukuahiwi,Rare,Endemic
Sicyos erostratus,Cucurbitaceae,‘Ānunu,Apparently Secure,Endemic
Sicyos herbstii,Cucurbitaceae,‘Ānunu,Apparently Secure,Endemic
Sicyos hillebrandii,Cucurbitaceae,‘Ānunu,Extinct,Endemic
Sicyos hispidus,Cucurbitaceae,‘Ānunu,Apparently Secure,Endemic
Sicyos lanceoloideus,Cucurbitaceae,‘Ānunu,Endangered,Endemic
Sicyos lasiocephalus,Cucurbitaceae,‘Ānunu,Apparently Secure,Endemic
Sicyos macrophyllus,Cucurbitaceae,‘Ānunu,Rare,Endemic
Sicyos maximowiczii,Cucurbitaceae,Puaokama,Apparently Secure,Endemic
Sicyos pachycarpus,Cucurbitaceae,Kūpala,Apparently Secure,Endemic
Sicyos waimanaloensis,Cucurbitaceae,‘Ānunu,Rare,Endemic
Sida fallax,Malvaceae,‘Ilima,Apparently Secure,Indigenous
Silene alexandri,Caryophyllaceae,n/a,Endangered,Endemic
Silene cryptopetala,Caryophyllaceae,n/a,Extinct,Endemic
Silene degeneri,Caryophyllaceae,n/a,Extinct,Endemic
Silene hawaiiensis,Caryophyllaceae,n/a,Rare,Endemic
Silene lanceolata,Caryophyllaceae,n/a,Endangered,Endemic
Silene perlmanii,Caryophyllaceae,n/a,Extinct,Endemic
Silene struthioloides,Caryophyllaceae,n/a,Apparently Secure,Endemic
Sisyrinchium acre,Iridaceae,Mau‘u lā‘ili,Rare,Endemic
Smilax melastomifolia,Smilacaceae,Hoi kuahiwi,Apparently Secure,Endemic
Solanum americanum,Solanaceae,Pōpolo,Apparently Secure,Indigenous
Solanum incompletum,Solanaceae,Pōpolo kū mai,Endangered,Endemic
Solanum nelsonii,Solanaceae,Pōpolo,Vulnerable,Endemic
Solanum sandwicense,Solanaceae,Pōpolo‘aiakeakua,Endangered,Endemic
Sophora chrysophylla,Fabaceae,Māmane,Apparently Secure,Endemic
Spermolepis hawaiiensis,Apiaceae,n/a,Endangered,Endemic
Sphaerocionium lanceolatum,Hymenophyllaceae,Palai hinahina,Apparently Secure,Endemic
Sphenomeris chinensis,Lindsaeaceae,Pala‘ā,Apparently Secure,Indigenous
Sporobolus virginicus,Poaceae,‘Aki‘aki,Apparently Secure,Indigenous
Stenogyne angustifolia,Lamiaceae,n/a,Endangered,Endemic
Stenogyne bifida,Lamiaceae,n/a,Endangered,Endemic
Stenogyne calaminthoides,Lamiaceae,n/a,Apparently Secure,Endemic
Stenogyne calycosa,Lamiaceae,n/a,Vulnerable,Endemic
Stenogyne campanulata,Lamiaceae,n/a,Endangered,Endemic
Stenogyne cinerea,Lamiaceae,n/a,Extinct,Endemic
Stenogyne cranwelliae,Lamiaceae,n/a,Endangered,Endemic
Stenogyne haliakalae,Lamiaceae,n/a,Extinct,Endemic
Stenogyne kaalae,Lamiaceae,n/a,Apparently Secure,Endemic
Stenogyne kamehamehae,Lamiaceae,n/a,Apparently Secure,Endemic
Stenogyne kanehoana,Lamiaceae,n/a,Endangered,Endemic
Stenogyne kealiae,Lamiaceae,n/a,Rare,Endemic
Stenogyne macrantha,Lamiaceae,n/a,Rare,Endemic
Stenogyne microphylla,Lamiaceae,n/a,Apparently Secure,Endemic
Stenogyne oxygona,Lamiaceae,n/a,Extinct,Endemic
Stenogyne purpurea,Lamiaceae,n/a,Apparently Secure,Endemic
Stenogyne rotundifolia,Lamiaceae,Pua‘ainaka,Apparently Secure,Endemic
Stenogyne rugosa,Lamiaceae,Mā‘ohi‘ohi,Apparently Secure,Endemic
Stenogyne scrophularioides,Lamiaceae,Mōhihi,Apparently Secure,Endemic
Stenogyne sessilis,Lamiaceae,n/a,Apparently Secure,Endemic
Stenogyne viridis,Lamiaceae,n/a,Extinct,Endemic
Sticherus owhyhensis,Gleicheniaceae,Uluhe,Apparently Secure,Endemic
Streblus pendulinus,Moraceae,A‘ia‘i,Apparently Secure,Indigenous
Strongylodon ruber,Fabaceae,Nuku ‘i‘iwi,Rare,Endemic
Syzygium sandwicensis,Myrtaceae,‘Ōhi‘a hā,Apparently Secure,Endemic
Tectaria gaudichaudii,Dryopteridaceae,‘Iwa‘iwa lau nui,Apparently Secure,Endemic
Tetramolopium arenarium,Asteraceae,n/a,Endangered,Endemic
Tetramolopium capillare,Asteraceae,Pāmakani,Endangered,Endemic
Tetramolopium consanguineum,Asteraceae,n/a,Rare,Endemic
Tetramolopium conyzoides,Asteraceae,n/a,Extinct,Endemic
Tetramolopium filiforme,Asteraceae,n/a,Endangered,Endemic
Tetramolopium humile,Asteraceae,n/a,Apparently Secure,Endemic
Tetramolopium lepidotum,Asteraceae,n/a,Endangered,Endemic
Tetramolopium remyi,Asteraceae,n/a,Endangered,Endemic
Tetramolopium rockii,Asteraceae,n/a,Vulnerable,Endemic
Tetramolopium sylvae,Asteraceae,n/a,Rare,Endemic
Tetramolopium tenerrimum,Asteraceae,n/a,Extinct,Endemic
Tetraplasandra flynnii,Araliaceae,n/a,Endangered,Endemic
Tetraplasandra gymnocarpa,Araliaceae,‘Ohe‘ohe,Endangered,Endemic
Tetraplasandra hawaiensis,Araliaceae,‘Ohe,Apparently Secure,Endemic
Tetraplasandra kavaiensis,Araliaceae,‘Ohe‘ohe,Apparently Secure,Endemic
Tetraplasandra oahuensis,Araliaceae,‘Ohe mauka,Apparently Secure,Endemic
Tetraplasandra waialealae,Araliaceae,n/a,Apparently Secure,Endemic
Tetraplasandra waimeae,Araliaceae,‘Ohe kiko‘olā,Apparently Secure,Endemic
Thelypteris globulifera,Thelypteridaceae,Palapalai o Kamapua‘a,Apparently Secure,Endemic
Thespesia populnea,Malvaceae,Milo,Apparently Secure,Indigenous
Touchardia latifolia,Urticaceae,Olonā,Apparently Secure,Endemic
Trematolobelia grandifolia,Campanulaceae,Koli‘i,Rare,Endemic
Trematolobelia kauaiensis,Campanulaceae,Koli‘i,Apparently Secure,Endemic
Trematolobelia macrostachys,Campanulaceae,Koli‘i,Apparently Secure,Endemic
Trematolobelia singularis,Campanulaceae,Koli‘i,Endangered,Endemic
Tribulus cistoides,Zygophyllaceae,Nohu,Apparently Secure,Indigenous
Trisetum glomeratum,Poaceae,Pili uka,Apparently Secure,Endemic
Trisetum inaequale,Poaceae,n/a,Apparently Secure,Endemic
Uncinia brevicaulis,Cyperaceae,n/a,Apparently Secure,Indigenous
Uncinia uncinata,Cyperaceae,n/a,Apparently Secure,Indigenous
Urera glabra,Urticaceae,Ōpuhe,Apparently Secure,Endemic
Urera kaalae,Urticaceae,Ōpuhe,Endangered,Endemic
Vaccinium calycinum,Ericaceae,‘Ōhelo kau lā‘au,Apparently Secure,Endemic
Vaccinium dentatum,Ericaceae,‘Ōhelo,Apparently Secure,Endemic
Vaccinium reticulatum,Ericaceae,‘Ōhelo,Apparently Secure,Endemic
Vandenboschia cyrtotheca,Hymenophyllaceae,n/a,Apparently Secure,Endemic
Vandenboschia davallioides,Hymenophyllaceae,Palai hihi,Apparently Secure,Endemic
Vandenboschia tubiflora,Hymenophyllaceae,n/a,Apparently Secure,Endemic
Vicia menziesii,Fabaceae,Hawaiian vetch,Endangered,Endemic
Vigna adenantha,Fabaceae,n/a,Extinct,Indigenous
Vigna marina,Fabaceae,Mohihihi,Apparently Secure,Indigenous
Vigna o-wahuensis,Fabaceae,n/a,Endangered,Endemic
Viola chamissoniana,Violaceae,‘Olopū,Apparently Secure,Endemic
Viola helenae,Violaceae,n/a,Endangered,Endemic
Viola kauaensis,Violaceae,Nani Wai‘ale‘ale,Apparently Secure,Endemic
Viola lanaiensis,Violaceae,n/a,Endangered,Endemic
Viola maviensis,Violaceae,n/a,Apparently Secure,Endemic
Viola oahuensis,Violaceae,n/a,Endangered,Endemic
Viola wailenalenae,Violaceae,n/a,Apparently Secure,Endemic
Vitex rotundifolia,Lamiaceae,Pōhinahina,Apparently Secure,Indigenous
Waltheria indica,Malvaceae,‘Uhaloa,Apparently Secure,Indigenous
Wikstroemia bicornuta,Thymelaeaceae,‘Ākia,Rare,Endemic
Wikstroemia forbesii,Thymelaeaceae,‘Ākia,Apparently Secure,Endemic
Wikstroemia furcata,Thymelaeaceae,‘Ākia,Apparently Secure,Endemic
Wikstroemia hanalei,Thymelaeaceae,‘Ākia,Extinct,Endemic
Wikstroemia monticola,Thymelaeaceae,‘Ākia,Apparently Secure,Endemic
Wikstroemia oahuensis,Thymelaeaceae,‘Ākia,Apparently Secure,Endemic
Wikstroemia phillyreifolia,Thymelaeaceae,‘Ākia,Apparently Secure,Endemic
Wikstroemia pulcherrima,Thymelaeaceae,‘Ākia,Apparently Secure,Endemic
Wikstroemia sandwicensis,Thymelaeaceae,‘Ākia,Apparently Secure,Endemic
Wikstroemia skottsbergiana,Thymelaeaceae,‘Ākia,Rare,Endemic
Wikstroemia uva-ursi,Thymelaeaceae,‘Ākia,Apparently Secure,Endemic
Wikstroemia villosa,Thymelaeaceae,‘Ākia,Extinct,Endemic
Wilkesia gymnoxiphium,Asteraceae,Iliau,Apparently Secure,Endemic
Wilkesia hobdyi,Asteraceae,Dwarf iliau,Endangered,Endemic
Xylosma crenatum,Salicaceae,n/a,Endangered,Endemic
Xylosma hawaiiense,Salicaceae,Maua,Apparently Secure,Endemic
Zanthoxylum dipetalum,Rutaceae,A‘e,Rare,Endemic
Zanthoxylum hawaiiense,Rutaceae,A‘e,Endangered,Endemic
Zanthoxylum kauaense,Rutaceae,A‘e,Apparently Secure,Endemic
Zanthoxylum oahuense,Rutaceae,A‘e,Rare,Endemic